iter	Passed	Remaining
599	83745	334983
600	83873	334795
601	84002	334614
602	84149	334503
603	84295	334390
604	84429	334230
605	84568	334087
606	84718	333990
607	84865	333877
608	85011	333764
609	85149	333618
610	85287	333474
611	85426	333331
612	85570	333208
613	85725	333128
614	85863	332983
615	86012	332880
616	86153	332746
617	86290	332594
618	86426	332440
619	86565	332301
620	86704	332158
621	86851	332046
622	86989	331901
623	87123	331738
624	87284	331681
625	87417	331517
626	87555	331371
627	87710	331289
628	87878	331257
629	88071	331315
630	88206	331158
631	88343	331010
632	88481	330860
633	88620	330719
634	88765	330599
635	88914	330494
636	89055	330359
637	89186	330186
638	89315	330004
639	89467	329911
640	89593	329720
641	89731	329573
642	89868	329426
643	89999	329252
644	90136	329102
645	90276	328965
646	90410	328803
647	90547	328655
648	90690	328526
649	90823	328361
650	90969	328245
651	91111	328111
652	91247	327959
653	91383	327807
654	91521	327660
655	91704	327675
656	91838	327515
657	91974	327363
658	92111	327213
659	92249	327067
660	92390	326930
661	92531	326794
662	92676	326675
663	92807	326502
664	92933	326314
665	93063	326142
666	93192	325964
667	93326	325803
668	93469	325676
669	93624	325589
670	93758	325431
671	93892	325271
672	94015	325073
673	94162	324958
674	94282	324751
675	94417	324596
676	94552	324437
677	94691	324298
678	94821	324126
679	94960	323983
680	95094	323824
681	95217	323629
682	95346	323453
683	95484	323306
684	95616	323143
685	95752	322990
686	95888	322839
687	96025	322690
688	96168	322561
689	96294	322377
690	96444	322274
691	96576	322109
692	96711	321954
693	96850	321810
694	96980	321639
695	97109	321465
696	97253	321341
697	97384	321173
698	97522	321028
699	97666	320905
700	97869	320973
701	98028	320898
702	98198	320854
703	98356	320775
704	98509	320679
705	98646	320530
706	98782	320379
707	98911	320206
708	99048	320058
709	99188	319916
710	99329	319782
711	99462	319621
712	99599	319473
713	99735	319321
714	99870	319165
715	100010	319028
716	100136	318845
717	100276	318706
718	100415	318564
719	100556	318429
720	100691	318275
721	100822	318107
722	100955	317946
723	101084	317773
724	101221	317625
725	101346	317441
726	101479	317279
727	101613	317123
728	101746	316963
729	101873	316783
730	102003	316617
731	102136	316456
732	102271	316303
733	102408	316155
734	102538	315984
735	102667	315814
736	102799	315651
737	102930	315485
738	103066	315337
739	103195	315164
740	103347	315061
741	103568	315171
742	103830	315403
743	104040	315478
744	104215	315444
745	104397	315430
746	104572	315396
747	104719	315278
748	104867	315163
749	105006	315018
750	105136	314850
751	105267	314682
752	105399	314520
753	105532	314359
754	105662	314189
755	105800	314043
756	105943	313911
757	106083	313772
758	106231	313655
759	106373	313520
760	106504	313355
761	106633	313183
762	106771	313038
763	106908	312890
764	107041	312727
765	107171	312559
766	107310	312417
767	107435	312233
768	107562	312056
769	107691	311884
770	107825	311730
771	107958	311567
772	108100	311436
773	108230	311267
774	108357	311092
775	108498	310954
776	108631	310795
777	108766	310641
778	108905	310500
779	109035	310331
780	109165	310164
781	109302	310015
782	109439	309869
783	109569	309700
784	109704	309548
785	109830	309370
786	109970	309231
787	110104	309074
788	110239	308921
789	110373	308766
790	110515	308634
791	110646	308468
792	110776	308301
793	110913	308155
794	111045	307994
795	111170	307814
796	111301	307650
797	111433	307490
798	111567	307335
799	111711	307207
800	111854	307074
801	111998	306948
802	112137	306806
803	112270	306649
804	112410	306511
805	112540	306345
806	112680	306205
807	112822	306072
808	112960	305928
809	113098	305785
810	113238	305645
811	113372	305490
812	113506	305335
813	113668	305256
814	113820	305150
815	113974	305050
816	114130	304953
817	114263	304795
818	114436	304743
819	114576	304606
820	114733	304510
821	114880	304392
822	115025	304265
823	115163	304121
824	115303	303981
825	115435	303820
826	115573	303676
827	115703	303513
828	115844	303376
829	115973	303207
830	116115	303074
831	116253	302928
832	116379	302755
833	116515	302605
834	116648	302448
835	116789	302310
836	116921	302150
837	117052	301989
838	117182	301825
839	117315	301669
840	117453	301525
841	117601	301405
842	117722	301219
843	117848	301045
844	117981	300887
845	118131	300775
846	118268	300627
847	118411	300497
848	118546	300346
849	118675	300178
850	118797	299996
851	118993	299997
852	119127	299844
853	119267	299704
854	119408	299567
855	119542	299414
856	119671	299248
857	119812	299112
858	119943	298951
859	120078	298801
860	120222	298670
861	120356	298518
862	120486	298353
863	120622	298205
864	120758	298057
865	120903	297930
866	121060	297833
867	121192	297675
868	121315	297495
869	121446	297334
870	121588	297201
871	121725	297055
872	121853	296886
873	121982	296722
874	122108	296549
875	122232	296371
876	122369	296226
877	122498	296061
878	122634	295914
879	122775	295776
880	122936	295689
881	123065	295525
882	123200	295374
883	123330	295211
884	123476	295087
885	123604	294921
886	123735	294760
887	123875	294621
888	124007	294465
889	124162	294362
890	124298	294215
891	124432	294063
892	124563	293902
893	124717	293797
894	124846	293632
895	124973	293464
896	125125	293354
897	125256	293194
898	125395	293055
899	125529	292901
900	125659	292740
901	125797	292598
902	125930	292442
903	126058	292276
904	126191	292122
905	126320	291959
906	126457	291814
907	126582	291640
908	126712	291480
909	126848	291332
910	126982	291181
911	127119	291037
912	127249	290874
913	127386	290730
914	127528	290597
915	127661	290443
916	127801	290306
917	127947	290182
918	128090	290050
919	128238	289929
920	128375	289785
921	128533	289688
922	128681	289568
923	128834	289459
924	128973	289318
925	129099	289148
926	129241	289014
927	129380	288875
928	129509	288713
929	129628	288529
930	129752	288353
931	129889	288210
932	130021	288055
933	130164	287922
934	130320	287820
935	130458	287677
936	130613	287572
937	130749	287426
938	130898	287306
939	131027	287144
940	131155	286982
941	131296	286845
942	131429	286692
943	131560	286534
944	131694	286382
945	131838	286253
946	131969	286097
947	132106	285951
948	132240	285801
949	132376	285654
950	132511	285504
951	132639	285341
952	132773	285192
953	132908	285043
954	133053	284914
955	133197	284785
956	133337	284649
957	133484	284525
958	133687	284521
959	133829	284387
960	133970	284251
961	134262	284434
962	134426	284348
963	134582	284241
964	134788	284242
965	134934	284115
966	135093	284017
967	135256	283925
968	135403	283801
969	135537	283651
970	135690	283538
971	135864	283470
972	136050	283426
973	136246	283403
974	136396	283285
975	136553	283180
976	136719	283094
977	136863	282962
978	137030	282879
979	137190	282780
980	137332	282643
981	137472	282504
982	137601	282341
983	137738	282195
984	137887	282075
985	138027	281935
986	138156	281771
987	138354	281751
988	138501	281625
989	138635	281471
990	138768	281317
991	138896	281153
992	139035	281012
993	139174	280869
994	139308	280716
995	139443	280566
996	139584	280429
997	139721	280282
998	139858	280137
999	140007	280014
1000	140142	279864
1001	140273	279707
1002	140406	279552
1003	140534	279388
1004	140664	279230
1005	140796	279072
1006	140929	278920
1007	141067	278776
1008	141206	278634
1009	141346	278494
1010	141473	278329
1011	141597	278158
1012	141724	277993
1013	141856	277838
1014	141986	277677
1015	142122	277529
1016	142256	277378
1017	142401	277249
1018	142524	277076
1019	142658	276924
1020	142798	276786
1021	142938	276646
1022	143079	276509
1023	143216	276362
1024	143351	276214
1025	143490	276073
1026	143628	275928
1027	143767	275786
1028	143899	275632
1029	144034	275484
1030	144169	275334
1031	144301	275179
1032	144432	275023
1033	144579	274897
1034	144714	274747
1035	144857	274613
1036	144990	274461
1037	145131	274323
1038	145262	274166
1039	145393	274011
1040	145524	273855
1041	145669	273723
1042	145808	273582
1043	145947	273442
1044	146074	273277
1045	146209	273130
1046	146344	272980
1047	146484	272842
1048	146618	272691
1049	146753	272542
1050	146887	272391
1051	147023	272245
1052	147164	272108
1053	147292	271945
1054	147421	271787
1055	147570	271663
1056	147693	271492
1057	147824	271337
1058	147956	271182
1059	148091	271034
1060	148230	270893
1061	148354	270725
1062	148486	270571
1063	148621	270423
1064	148749	270262
1065	148884	270115
1066	149027	269981
1067	149158	269826
1068	149298	269687
1069	149439	269549
1070	149579	269410
1071	149714	269263
1072	149847	269111
1073	149977	268954
1074	150124	268827
1075	150257	268675
1076	150386	268517
1077	150522	268370
1078	150661	268229
1079	150801	268090
1080	150952	267972
1081	151085	267821
1082	151227	267684
1083	151358	267529
1084	151492	267380
1085	151639	267254
1086	151790	267134
1087	151936	267005
1088	152064	266846
1089	152205	266708
1090	152357	266591
1091	152541	266528
1092	152708	266436
1093	152844	266289
1094	153005	266187
1095	153181	266111
1096	153326	265980
1097	153467	265842
1098	153613	265712
1099	153759	265583
1100	153899	265445
1101	154038	265304
1102	154171	265152
1103	154304	265001
1104	154437	264849
1105	154571	264699
1106	154762	264647
1107	154906	264515
1108	155111	264486
1109	155334	264489
1110	155606	264573
1111	155796	264517
1112	155951	264402
1113	156098	264273
1114	156233	264126
1115	156372	263984
1116	156499	263820
1117	156628	263662
1118	156767	263520
1119	156893	263357
1120	157033	263216
1121	157180	263088
1122	157317	262942
1123	157445	262782
1124	157593	262656
1125	157752	262547
1126	157889	262401
1127	158026	262256
1128	158164	262112
1129	158296	261960
1130	158421	261795
1131	158559	261651
1132	158697	261508
1133	158819	261337
1134	158961	261201
1135	159103	261063
1136	159237	260913
1137	159367	260758
1138	159495	260598
1139	159628	260445
1140	159761	260294
1141	159899	260151
1142	160022	259983
1143	160168	259853
1144	160363	259802
1145	160533	259710
1146	160710	259630
1147	160909	259586
1148	161095	259518
1149	161257	259414
1150	161419	259309
1151	161580	259201
1152	161762	259128
1153	161930	259032
1154	162105	258947
1155	162238	258796
1156	162368	258638
1157	162500	258485
1158	162630	258327
1159	162756	258165
1160	162896	258024
1161	163033	257879
1162	163178	257746
1163	163342	257643
1164	163539	257591
1165	163760	257578
1166	163985	257570
1167	164191	257533
1168	164387	257479
1169	164535	257350
