iter	Passed	Remaining
697	104567	2142581
698	104971	2147641
699	105301	2151152
700	105639	2154844
701	105972	2158395
702	106288	2161593
703	106644	2165603
704	107008	2169760
705	107343	2173318
706	107778	2178890
707	108346	2187135
708	108877	2194604
709	109257	2199004
710	109566	2201971
711	109900	2205415
712	110259	2209365
713	110590	2212738
714	110910	2215887
715	111252	2219464
716	111624	2223611
717	112000	2227839
718	112317	2230893
719	112642	2234076
720	113034	2238591
721	113445	2243458
722	113780	2246814
723	114100	2249859
724	114436	2253217
725	114770	2256527
726	115075	2259245
727	115398	2262310
728	115712	2265205
729	116053	2268599
730	116388	2271884
731	116718	2275045
732	117083	2278891
733	117504	2283820
734	117839	2287045
735	118189	2290557
736	118524	2293782
737	118895	2297677
738	119224	2300753
739	119581	2304376
740	119962	2308424
741	120325	2312131
742	120749	2317001
743	121096	2320364
744	121426	2323393
745	121792	2327112
746	122159	2330842
747	122521	2334457
748	122834	2337128
749	123193	2340668
750	123503	2343285
751	123843	2346432
752	124250	2350865
753	124577	2353745
754	124920	2356936
755	125270	2360257
756	125656	2364230
757	125961	2366671
758	126301	2369776
759	126624	2372549
760	126965	2375632
761	127292	2378456
762	127615	2381208
763	127967	2384475
764	128347	2388261
765	128703	2391597
766	129100	2395674
767	129453	2398942
768	129794	2401958
769	130139	2405051
770	130463	2407729
771	130810	2410839
772	131160	2414002
773	131491	2416790
774	131811	2419379
775	132159	2422475
776	132450	2424506
777	132773	2427133
778	133105	2429903
779	133422	2432395
780	133729	2434697
781	134109	2438322
782	134448	2441192
783	134786	2444036
784	135138	2447132
785	135443	2449354
786	135780	2452161
787	136108	2454789
788	136431	2457317
789	136757	2459911
790	137098	2462748
791	137428	2465380
792	137789	2468560
793	138188	2472429
794	138516	2475002
795	138853	2477729
796	139183	2480338
797	139556	2483688
798	139898	2486488
799	140265	2489703
800	140594	2492262
801	140940	2495107
802	141329	2498703
803	141746	2502785
804	142166	2506894
805	142506	2509590
806	142816	2511769
807	143148	2514306
808	143452	2516352
809	143780	2518813
810	144165	2522271
811	144493	2524729
812	144848	2527637
813	145181	2530154
814	145510	2532592
815	145814	2534594
816	146151	2537166
817	146474	2539490
818	146800	2541855
819	147134	2544354
820	147434	2546250
821	147781	2548961
822	148094	2551071
823	148465	2554175
824	148795	2556575
825	149141	2559233
826	149462	2561459
827	149856	2564943
828	150295	2569158
829	150707	2572918
830	151036	2575255
831	151397	2578131
832	151709	2580158
833	152067	2582952
834	152409	2585477
835	152734	2587715
836	153033	2589503
837	153359	2591745
838	153650	2593372
839	153991	2595864
840	154325	2598218
841	154650	2600405
842	154991	2602872
843	155315	2605029
844	155635	2607129
845	155976	2609557
846	156323	2612094
847	156650	2614283
848	156973	2616409
849	157312	2618792
850	157820	2623980
851	158166	2626449
852	158534	2629289
853	158847	2631219
854	159189	2633616
855	159495	2635395
856	159834	2637737
857	160159	2639829
858	160527	2642635
859	160854	2644750
860	161211	2647349
861	161555	2649734
862	161911	2652308
863	162249	2654583
864	162567	2656516
865	162890	2658532
866	163242	2661023
867	163586	2663375
868	163938	2665846
869	164278	2668114
870	164633	2670615
871	164992	2673186
872	165321	2675251
873	165642	2677185
874	165959	2679056
875	166280	2680992
876	166606	2682991
877	166923	2684846
878	167247	2686810
879	167556	2688520
880	167897	2690742
881	168264	2693373
882	168656	2696399
883	169268	2702930
884	169724	2706967
885	170054	2708964
886	170371	2710765
887	170749	2713532
888	171298	2718999
889	171634	2721085
890	171965	2723074
891	172309	2725271
892	172667	2727679
893	173062	2730672
894	173411	2732924
895	173749	2735006
896	174073	2736856
897	174398	2738709
898	174736	2740776
899	175086	2743016
900	175464	2745691
901	175792	2747583
902	176208	2750837
903	176555	2753015
904	176912	2755341
905	177229	2757032
906	177607	2759677
907	177981	2762248
908	178298	2763914
909	178632	2765860
910	178978	2767979
911	179321	2770047
912	179634	2771651
913	179990	2773902
914	180308	2775575
915	180704	2778426
916	181087	2781092
917	181410	2782814
918	181770	2785100
919	182127	2787346
920	182472	2789388
921	182823	2791525
922	183200	2794057
923	183591	2796794
924	183933	2798766
925	184317	2801393
926	184681	2803687
927	185137	2807382
928	185498	2809639
929	185842	2811618
930	186233	2814306
931	186581	2816345
932	186948	2818653
933	187300	2820730
934	187654	2822846
935	187988	2824650
936	188347	2826822
937	188674	2828515
938	189024	2830532
939	189469	2833986
940	189836	2836257
941	190273	2839563
942	190587	2841033
943	190927	2842872
944	191252	2844508
945	191641	2847069
946	191998	2849154
947	192406	2852005
948	192749	2853869
949	193104	2855917
950	193483	2858302
951	193839	2860358
952	194179	2862166
953	194623	2865493
954	195023	2868169
955	195407	2870605
956	195839	2873749
957	196249	2876555
958	196671	2879522
959	197040	2881717
960	197402	2883797
961	197756	2885761
962	198123	2887911
963	198505	2890277
964	198898	2892789
965	199257	2894806
966	199643	2897206
967	199957	2898552
968	200344	2900957
969	200693	2902812
970	201007	2904155
971	201336	2905707
972	201679	2907454
973	202052	2909644
974	202415	2911665
975	202769	2913565
976	203087	2914938
977	203419	2916514
978	203774	2918404
979	204107	2919984
980	204413	2921168
981	204757	2922896
982	205143	2925231
983	205504	2927192
984	205883	2929396
985	206251	2931454
986	206599	2933210
987	207033	2936181
988	207369	2937768
989	207702	2939303
990	208053	2941088
991	208384	2942592
992	208709	2944002
993	209272	2948762
994	209689	2951456
995	210061	2953515
996	210424	2955446
997	210764	2957036
998	211102	2958608
999	211406	2959690
1000	211820	2962317
1001	212167	2963996
1002	212511	2965619
1003	212833	2966953
1004	213174	2968537
1005	213498	2969877
1006	213863	2971783
1007	214228	2973688
1008	214589	2975547
1009	214979	2977785
1010	215312	2979228
1011	215651	2980770
1012	215995	2982356
1013	216302	2983445
1014	216657	2985174
1015	217029	2987140
1016	217350	2988402
1017	217732	2990506
1018	218082	2992164
1019	218420	2993639
1020	218731	2994757
1021	219043	2995880
1022	219357	2997034
1023	219691	2998444
1024	220094	3000796
1025	220401	3001839
1026	220746	3003402
1027	221102	3005095
1028	221418	3006259
1029	221756	3007701
1030	222073	3008874
1031	222387	3009993
1032	222717	3011315
1033	223035	3012486
1034	223373	3013923
1035	223706	3015285
1036	224051	3016806
1037	224497	3019686
1038	224866	3021523
1039	225213	3023060
1040	225539	3024306
1041	225860	3025484
1042	226218	3027168
1043	226550	3028482
1044	226893	3029945
1045	227206	3031011
1046	227533	3032263
1047	227856	3033442
1048	228194	3034839
1049	228553	3036497
1050	228883	3037765
1051	229203	3038905
1052	229621	3041337
1053	230012	3043403
1054	230482	3046523
1055	230903	3048973
1056	231259	3050573
1057	231592	3051855
1058	231945	3053402
1059	232267	3054540
1060	232586	3055624
1061	232915	3056856
1062	233234	3057939
1063	233558	3059088
1064	233898	3060440
1065	234213	3061470
1066	234532	3062547
1067	234858	3063715
1068	235195	3065018
1069	235540	3066432
1070	235877	3067724
1071	236201	3068852
1072	236509	3069775
1073	236866	3071330
1074	237199	3072565
1075	237540	3073901
1076	237863	3074993
1077	238209	3076390
1078	238660	3079145
1079	239034	3080887
1080	239346	3081841
1081	239705	3083388
1082	240163	3086196
1083	240548	3088077
1084	240927	3089869
1085	241300	3091581
1086	241636	3092818
1087	241984	3094201
1088	242323	3095469
1089	242666	3096783
1090	242976	3097677
1091	243304	3098796
1092	243621	3099767
1093	243958	3100987
1094	244287	3102113
1095	244643	3103581
1096	244983	3104834
1097	245313	3105963
1098	245653	3107209
1099	245988	3108396
1100	246313	3109451
1101	246663	3110827
1102	246997	3111994
1103	247348	3113370
1104	247690	3114624
1105	248029	3115841
1106	248372	3117114
1107	248742	3118715
1108	249081	3119924
1109	249405	3120941
1110	249740	3122097
1111	250080	3123308
1112	250396	3124215
1113	250700	3124984
1114	251049	3126293
1115	251363	3127181
1116	251677	3128052
1117	252008	3129145
1118	252339	3130231
1119	252698	3131661
1120	253032	3132769
1121	253353	3133723
1122	253696	3134951
1123	254017	3135901
1124	254346	3136941
1125	254690	3138167
1126	255071	3139850
1127	255409	3140990
1128	255891	3143910
1129	256288	3145769
1130	256638	3147060
1131	257055	3149158
1132	257388	3150226
1133	257709	3151145
1134	258027	3152033
1135	258355	3153025
1136	258701	3154246
1137	259034	3155308
1138	259377	3156477
1139	259730	3157772
1140	260055	3158729
1141	260366	3159512
1142	260689	3160433
1143	261039	3161676
1144	261357	3162534
1145	261685	3163523
1146	262046	3164889
1147	262477	3167104
1148	262969	3170048
1149	263386	3172093
1150	263729	3173229
1151	264075	3174411
1152	264451	3175943
1153	264837	3177586
1154	265187	3178810
1155	265556	3180244
1156	265897	3181348
1157	266246	3182542
1158	266601	3183802
1159	266924	3184682
1160	267289	3186061
1161	267635	3187217
1162	268010	3188700
1163	268353	3189809
1164	268687	3190809
1165	269030	3191907
1166	269371	3192992
1167	269683	3193715
1168	270021	3194749
1169	270363	3195833
1170	270691	3196747
1171	271041	3197921
1172	271490	3200253
1173	271810	3201060
1174	272166	3202301
1175	272517	3203468
1176	272839	3204301
1177	273172	3205260
1178	273515	3206323
1179	273852	3207328
1180	274163	3208017
1181	274500	3209011
1182	274834	3209966
1183	275192	3211197
1184	275557	3212514
1185	275929	3213903
1186	276281	3215064
1187	276654	3216459
1188	277062	3218260
1189	277472	3220084
1190	277926	3222412
1191	278279	3223562
1192	278610	3224450
1193	278958	3225549
1194	279362	3227281
1195	279725	3228537
1196	280087	3229778
1197	280484	3231430
1198	280822	3232380
1199	281173	3233490
1200	281537	3234750
1201	281928	3236316
1202	282251	3237095
1203	282622	3238418
1204	282970	3239488
1205	283309	3240436
1206	283672	3241674
1207	284010	3242614
1208	284352	3243597
1209	284698	3244617
1210	285024	3245423
1211	285351	3246229
1212	285692	3247191
1213	286130	3249258
1214	286452	3249999
1215	286840	3251490
1216	287200	3252652
1217	287580	3254046
1218	287898	3254743
1219	288282	3256177
1220	288618	3257060
1221	288948	3257886
1222	289302	3258964
1223	289633	3259797
1224	290010	3261142
1225	290425	3262899
1226	290881	3265129
1227	291318	3267131
1228	291702	3268535
1229	292098	3270081
1230	292418	3270764
1231	292779	3271901
1232	293150	3273153
1233	293471	3273850
1234	293814	3274786
1235	294190	3276077
